datestamp,index_code,index_name,convexity,return,modified_duration,yield
2005-01-03,SAGB Index,SA Govt Bond Index,41.3,0.019811322,4.8,9.77
2005-01-04,SAGB Index,SA Govt Bond Index,41.3,0.081116008,4.8,9.76
2005-01-05,SAGB Index,SA Govt Bond Index,41,-0.395355653,4.78,9.81
2005-01-06,SAGB Index,SA Govt Bond Index,40.8,-0.350088696,4.76,9.84
2005-01-07,SAGB Index,SA Govt Bond Index,41.1,0.516058598,4.78,9.79
2005-01-10,SAGB Index,SA Govt Bond Index,41,-0.064235174,4.77,9.81
2005-01-11,SAGB Index,SA Govt Bond Index,41.1,0.240091491,4.78,9.79
2005-01-12,SAGB Index,SA Govt Bond Index,41.1,-0.008958292,4.77,9.79
2005-01-13,SAGB Index,SA Govt Bond Index,41.1,0.039608628,4.77,9.79
2005-01-14,SAGB Index,SA Govt Bond Index,41,-0.265838346,4.76,9.82
2005-01-17,SAGB Index,SA Govt Bond Index,40.8,-0.06191073,4.75,9.83
2005-01-18,SAGB Index,SA Govt Bond Index,40.6,-0.384462602,4.73,9.88
2005-01-19,SAGB Index,SA Govt Bond Index,40.6,0.126749929,4.73,9.87
2005-01-20,SAGB Index,SA Govt Bond Index,40.3,-0.319555472,4.72,9.9
2005-01-21,SAGB Index,SA Govt Bond Index,40.5,0.326763187,4.73,9.87
2005-01-24,SAGB Index,SA Govt Bond Index,40.7,0.521023459,4.74,9.82
2005-01-25,SAGB Index,SA Govt Bond Index,40.9,0.27779087,4.75,9.8
2005-01-26,SAGB Index,SA Govt Bond Index,41,0.238454691,4.75,9.78
2005-01-27,SAGB Index,SA Govt Bond Index,41.1,0.152022752,4.76,9.77
2005-01-28,SAGB Index,SA Govt Bond Index,41.2,0.175216678,4.76,9.75
2005-01-31,SAGB Index,SA Govt Bond Index,41.4,0.58739896,4.77,9.7
2005-02-01,SAGB Index,SA Govt Bond Index,41.7,0.366375293,4.79,9.67
2005-02-02,SAGB Index,SA Govt Bond Index,41.6,-0.113958528,4.78,9.68
2005-02-03,SAGB Index,SA Govt Bond Index,45.4,-0.423426181,5.11,9.55
2005-02-04,SAGB Index,SA Govt Bond Index,45.6,0.29714636,5.12,9.53
2005-02-07,SAGB Index,SA Govt Bond Index,45.8,0.4504358,5.13,9.49
2005-02-08,SAGB Index,SA Govt Bond Index,45.7,-0.060559274,5.12,9.5
2005-02-09,SAGB Index,SA Govt Bond Index,45.7,0.213704864,5.12,9.48
2005-02-10,SAGB Index,SA Govt Bond Index,45.5,-0.564510189,5.11,9.54
2005-02-11,SAGB Index,SA Govt Bond Index,45.4,0.063595216,5.1,9.54
2005-02-14,SAGB Index,SA Govt Bond Index,45.6,0.443955819,5.11,9.5
2005-02-15,SAGB Index,SA Govt Bond Index,45.9,0.508500403,5.13,9.45
2005-02-16,SAGB Index,SA Govt Bond Index,45.6,-0.203565857,5.11,9.47
2005-02-17,SAGB Index,SA Govt Bond Index,45.3,-0.271667819,5.09,9.5
2005-02-18,SAGB Index,SA Govt Bond Index,45.3,0.150055171,5.09,9.49
2005-02-21,SAGB Index,SA Govt Bond Index,45,-0.187633698,5.07,9.52
2005-02-22,SAGB Index,SA Govt Bond Index,45.4,0.58197272,5.09,9.46
2005-02-23,SAGB Index,SA Govt Bond Index,46.3,-0.112965808,5.2,9.48
2005-02-24,SAGB Index,SA Govt Bond Index,46.8,0.5728235,5.23,9.43
2005-02-25,SAGB Index,SA Govt Bond Index,46.8,0.04799671,5.23,9.42
2005-02-28,SAGB Index,SA Govt Bond Index,46.8,0.221592728,5.22,9.41
2005-03-01,SAGB Index,SA Govt Bond Index,46.3,-0.635955436,5.19,9.47
2005-03-02,SAGB Index,SA Govt Bond Index,45.8,-0.472563785,5.17,9.52
2005-03-03,SAGB Index,SA Govt Bond Index,45.8,0.00507076,5.17,9.52
2005-03-04,SAGB Index,SA Govt Bond Index,45.5,-0.111551071,5.15,9.54
2005-03-07,SAGB Index,SA Govt Bond Index,45.5,0.135672063,5.15,9.53
2005-03-08,SAGB Index,SA Govt Bond Index,45.5,0.086638739,5.15,9.53
2005-03-09,SAGB Index,SA Govt Bond Index,44.9,-0.886357483,5.11,9.61
2005-03-10,SAGB Index,SA Govt Bond Index,45.1,-0.327516999,5.15,9.65
2005-03-11,SAGB Index,SA Govt Bond Index,45,-0.082031777,5.14,9.66
2005-03-14,SAGB Index,SA Govt Bond Index,44.7,-0.423090397,5.12,9.71
2005-03-15,SAGB Index,SA Govt Bond Index,44.8,0.209399057,5.12,9.69
